omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.4,2,0.00224,0.39,0.09,0.0,protofilament
0.45,2,0.00224,0.39,0.09,0.0,protofilament
0.5,2,0.00224,0.39,0.09,0.0,protofilament
0.55,2,0.00224,0.39,0.09,0.0,protofilament
0.6,2,0.00224,0.39,0.09,0.0,protofilament
0.65,2,0.00224,0.39,0.09,0.0,protofilament
0.7,2,0.00224,0.39,0.09,0.0,protofilament
0.75,2,0.00224,0.39,0.09,0.0,protofilament
0.8,2,0.00224,0.39,0.09,0.0,protofilament
0.85,2,0.00224,0.39,0.09,0.0,protofilament
0.9,2,0.00224,0.39,0.09,0.0,protofilament
0.95,2,0.00224,0.39,0.09,0.0,protofilament
1.0,2,0.00224,0.39,0.09,0.0,protofilament
0.7,2,0.00224,0.39,0.09,0.0,protofilament
0.71,2,0.00224,0.39,0.09,0.0,protofilament
0.72,2,0.00224,0.39,0.09,0.0,protofilament
0.73,2,0.00224,0.39,0.09,0.0,protofilament
0.74,2,0.00224,0.39,0.09,0.0,protofilament
0.75,2,0.00224,0.39,0.09,0.0,protofilament
0.76,2,0.00224,0.39,0.09,0.0,protofilament
0.77,2,0.00224,0.39,0.09,0.0,protofilament
0.78,2,0.00224,0.39,0.09,0.0,protofilament
0.79,2,0.00224,0.39,0.09,0.0,protofilament
0.8,2,0.00224,0.39,0.09,0.0,protofilament
0.81,2,0.00224,0.39,0.09,0.0,protofilament
0.82,2,0.00224,0.39,0.09,0.0,protofilament
0.83,2,0.00224,0.39,0.09,0.0,protofilament
0.84,2,0.00224,0.39,0.09,0.0,protofilament
0.85,2,0.00224,0.39,0.09,0.0,protofilament
0.86,2,0.00224,0.39,0.09,0.0,protofilament
0.87,2,0.00224,0.39,0.09,0.0,protofilament
0.88,2,0.00224,0.39,0.09,0.0,protofilament
0.89,2,0.00224,0.39,0.09,0.0,protofilament
0.9,2,0.00224,0.39,0.09,0.0,protofilament
0.91,2,0.00224,0.39,0.09,0.0,protofilament
0.92,2,0.00224,0.39,0.09,0.0,protofilament
0.93,2,0.00224,0.39,0.09,0.0,protofilament
0.94,2,0.00224,0.39,0.09,0.0,protofilament
0.95,2,0.00224,0.39,0.09,0.0,protofilament
0.96,2,0.00224,0.39,0.09,0.0,protofilament
0.97,2,0.00224,0.39,0.09,0.0,protofilament
0.98,2,0.00224,0.39,0.09,0.0,protofilament
0.99,2,0.00224,0.39,0.09,0.0,protofilament
1.0,2,0.00224,0.39,0.09,0.0,protofilament
0.0,3,0.00224,0.39,0.09,0.0,protofilament
0.05,3,0.00224,0.39,0.09,0.0,protofilament
0.1,3,0.00224,0.39,0.09,0.0,protofilament
0.15,3,0.00224,0.39,0.09,0.0,protofilament
0.2,3,0.00224,0.39,0.09,0.0,protofilament
0.25,3,0.00224,0.39,0.09,0.0,protofilament
0.3,3,0.00224,0.39,0.09,0.0,protofilament
0.35,3,0.00224,0.39,0.09,0.0,protofilament
0.4,3,0.00224,0.39,0.09,0.0,protofilament
0.45,3,0.00224,0.39,0.09,0.0,protofilament
0.5,3,0.00224,0.39,0.09,0.0,protofilament
0.55,3,0.00224,0.39,0.09,0.0,protofilament
0.6,3,0.00224,0.39,0.09,0.0,protofilament
0.65,3,0.00224,0.39,0.09,0.0,protofilament
0.7,3,0.00224,0.39,0.09,0.0,protofilament
0.75,3,0.00224,0.39,0.09,0.0,protofilament
0.8,3,0.00224,0.39,0.09,0.0,protofilament
0.85,3,0.00224,0.39,0.09,0.0,protofilament
0.9,3,0.00224,0.39,0.09,0.0,protofilament
0.95,3,0.00224,0.39,0.09,0.0,protofilament
1.0,3,0.00224,0.39,0.09,0.0,protofilament
0.7,3,0.00224,0.39,0.09,0.0,protofilament
0.71,3,0.00224,0.39,0.09,0.0,protofilament
0.72,3,0.00224,0.39,0.09,0.0,protofilament
0.73,3,0.00224,0.39,0.09,0.0,protofilament
0.74,3,0.00224,0.39,0.09,0.0,protofilament
0.75,3,0.00224,0.39,0.09,0.0,protofilament
0.76,3,0.00224,0.39,0.09,0.0,protofilament
