event id,MT id,time (s),velocity (nm/s),equilibrium density (1/nm),number of Ase1 molecules at tip fitted with gaussian (1),number of Ase1 molecules at tip fitted with exponential (1),lengthscale of exponential decay (nm),condition
antiparallel_140,16.0,25.054,154.34,0.063665,5.7529,2.6253,85.376,antiparallel
antiparallel_140,16.0,27.488,110.87,0.066161,16.054,8.4223,134.51,antiparallel
antiparallel_140,16.0,29.937,87.732,0.06735,17.203,10.207,118.54,antiparallel
antiparallel_140,16.0,32.979,97.809,0.065021,30.822,12.219,386.18,antiparallel
antiparallel_140,16.0,35.444,170.73,0.064464,48.799,24.72,257.19,antiparallel
antiparallel_140,16.0,38.649,91.976,0.064356,44.504,21.266,247.55,antiparallel
antiparallel_140,16.0,40.295,178.17,0.074356,30.177,11.912,324.98,antiparallel
antiparallel_140,16.0,42.745,122.76,0.078928,35.434,18.06,211.43,antiparallel
antiparallel_140,16.0,45.178,27.687,0.079579,22.545,5.6193,1000.0,antiparallel
antiparallel_140,16.0,47.612,242.85,0.066026,47.862,30.491,5.3915,antiparallel
antiparallel_140,16.0,50.061,-36.964,0.066026,52.14,20.533,365.82,antiparallel
antiparallel_140,16.0,52.463,109.5,0.071625,67.64,42.206,207.7,antiparallel
antiparallel_142,16.0,0.0,,0.047607,5.4321,2.0825,229.36,antiparallel
antiparallel_142,16.0,2.465,43.614,0.051,16.574,11.17,219.36,antiparallel
antiparallel_142,16.0,5.475,126.99,0.048979,23.558,15.897,158.85,antiparallel
antiparallel_142,16.0,7.94,101.72,0.067924,18.76,11.924,232.48,antiparallel
antiparallel_142,16.0,10.421,120.4,0.061422,13.856,7.1591,278.33,antiparallel
antiparallel_142,16.0,12.854,260.7,0.055822,24.482,13.971,412.26,antiparallel
antiparallel_142,16.0,15.303,86.31,0.085421,37.056,26.919,182.97,antiparallel
antiparallel_144,16.0,0.0,,0.0016314,,,,antiparallel
antiparallel_144,16.0,6.099,,0.049024,13.808,6.4587,213.04,antiparallel
antiparallel_144,16.0,8.595,132.94,0.041761,20.261,8.8221,308.67,antiparallel
antiparallel_144,16.0,11.06,38.119,0.049251,48.746,13.819,983.0,antiparallel
antiparallel_144,16.0,13.494,43.344,0.05104,32.433,13.793,326.02,antiparallel
antiparallel_144,16.0,15.943,139.65,0.05104,36.38,21.967,187.1,antiparallel
antiparallel_144,16.0,18.376,205.15,0.053726,19.441,12.775,100.99,antiparallel
antiparallel_144,16.0,20.857,122.08,0.067057,19.41,11.486,126.93,antiparallel
antiparallel_144,16.0,23.306,120.21,0.061196,31.477,15.559,234.57,antiparallel
antiparallel_144,16.0,25.755,52.9,0.063659,46.503,15.392,502.55,antiparallel
antiparallel_144,16.0,28.182,98.798,0.073446,55.046,23.504,339.94,antiparallel
antiparallel_157,19.0,0.0,,0.073526,19.777,13.447,230.6,antiparallel
antiparallel_157,19.0,2.465,130.01,0.062796,38.383,29.55,136.12,antiparallel
antiparallel_157,19.0,4.899,128.04,0.075017,35.549,34.487,5.2983,antiparallel
antiparallel_157,19.0,7.364,160.4,0.079646,34.343,31.004,34.907,antiparallel
