time (s),num Ase1 divded by equilibrium density (nm),equilibrium density (1/nm),event id
43.383,227.17,0.066199,10
0,NaN,0.032927,11
2.449,NaN,0.02379,11
4.892,NaN,0.029474,11
7.316,7.81E-10,0.012558,11
NaN,NaN,0.00017375,11
9.765,301.48,0.012558,11
16.458,51.921,0.041402,11
19.292,197.51,0.048261,11
21.403,224.32,0.048419,11
23.868,134.95,0.046598,11
26.317,298.58,0.048243,11
28.735,311.97,0.053023,11
31.184,150.88,0.055659,11
33.633,126.08,0.059142,11
36.083,137.18,0.054756,11
38.579,187.5,0.054336,11
41.589,271.2,0.057882,11
44.023,341.97,0.069865,11
46.472,171.55,0.087947,11
49.272,183.14,0.088011,11
51.371,171.92,0.076366,11
53.867,218.32,0.063504,11
56.347,199.68,0.06238,11
58.796,184.2,0.061921,11
61.245,159.97,0.055746,11
63.679,234.45,0.049965,11
0,130.86,0.01454,12
3.167,119.26,0.084986,12
4.898,234.38,0.084986,12
7.348,261.76,0.077384,12
9.797,318.32,0.080057,12
12.714,NaN,0.078656,12
15.163,268.65,0.087933,12
17.628,260.86,0.10726,12
0,NaN,0.049733,13
2.465,NaN,0.07289,13
4.945,139.19,0.066804,13
7.426,178.68,0.065806,13
9.875,177.32,0.065349,13
12.324,88.849,0.072195,13
14.758,104.77,0.072851,13
17.207,162.53,0.093112,13
20.202,290.2,0.093506,13
22.683,238.54,0.093377,13
25.825,155.86,0.085201,13
27.597,223.25,0.083881,13
30.015,219.58,0.093006,13
32.479,193.94,0.10712,13
34.913,233.68,0.10912,13
37.362,322.59,0.11499,13
39.827,196.54,0.11778,13
42.276,195.34,0.11809,13
45.975,149.62,0.12704,13
47.58,144.47,0.12611,13
50.115,159.56,0.11303,13
52.494,107.57,0.098641,13
54.943,90.585,0.098641,13
57.393,238.03,0.086193,13
59.826,228.54,0.083975,13
62.291,218.19,0.080589,13
64.74,NaN,0.080589,13
67.205,NaN,0.083975,13
70.263,149.73,0.072866,13
72.712,137.74,0.06644,13
0,NaN,0.078035,14
2.528,27.065,0.074321,14
5.055,105.65,0.078035,14
7.551,66.102,0.087508,14
10.062,49.71,0.094922,14
12.558,59.196,0.10227,14
15.07,92.751,0.10419,14
17.582,88.669,0.10316,14
20.608,192.74,0.095196,14
23.12,254.47,0.092046,14
25.631,169.12,0.091897,14
28.143,191.01,0.089753,14
30.67,259.26,0.093738,14
33.166,332.47,0.091727,14
35.693,377.52,0.090406,14
38.205,341.28,0.087063,14
NaN,NaN,0.0040319,14
40.685,225.87,0.090719,14
47.751,256.47,0.093983,14
49.437,162.85,0.099661,14
51.964,109.37,0.10013,14
54.476,193.42,0.10291,14
56.987,92.057,0.10263,14
59.483,171.36,0.099668,14
61.964,334.2,0.094655,14
64.475,316.98,0.092006,14
66.987,334.21,0.094938,14
69.53,313.13,0.096086,14
72.541,278.51,0.099541,14
0,NaN,0.034372,15
7.113,85.696,0.0050884,15
10.377,117.4,0.047233,15
11.934,236.75,0.04868,15
14.352,215.32,0.065388,15
16.77,401.82,0.06279,15
19.188,470.35,0.063443,15
21.621,633,0.05445,15
24.024,436.35,0.057231,15
26.487,589.75,0.053798,15
28.86,511.48,0.05574,15
31.839,205.12,0.074197,15
34.257,271.27,0.074059,15
36.691,537.63,0.059472,15
39.109,504.48,0.061782,15
41.542,544.73,0.065626,15
43.976,213.29,0.088646,15
46.394,320.53,0.094603,15
48.812,423.44,0.094443,15
51.261,289.14,0.095343,15
53.679,NaN,0.094443,15
56.674,NaN,0.095343,15
0,NaN,0.023675,16
2.418,237.57,0.022234,16
4.852,96.16,0.025514,16
7.301,198.3,0.027112,16
10.304,240.09,0.032748,16
12.137,101.33,0.030984,16
14.555,159.44,0.030448,16
17.004,147.01,0.040181,16
19.423,463.8,0.029713,16
22.855,161.58,0.037299,16
25.304,287.4,0.036338,16
28.484,NaN,0.035451,16
30.187,298.53,0.032475,16
32.62,NaN,0.028089,16
35.069,NaN,0.028089,16
37.503,NaN,0.028748,16
39.937,NaN,0.028499,16
0,353.96,0.015905,16
2.418,419.55,0.015022,16
4.867,491.97,0.016503,16
7.285,286.38,0.018976,16
10.045,416.83,0.033135,16
12.152,296.62,0.035999,16
14.602,200.4,0.038404,16
17.02,161.8,0.047399,16
19.453,255.35,0.045926,16
21.902,439.74,0.042492,16
24.866,588.74,0.041894,16
27.3,440.83,0.045079,16
30.355,566.22,0.045751,16
32.183,527.68,0.045152,16
34.616,432.47,0.04544,16
37.05,394.73,0.044338,16
39.484,230.87,0.049993,16
41.902,142.5,0.061973,16
NaN,NaN,0.0011026,16
0,130.44,0.012069,17
2.433,146.67,0.021788,17
4.836,NaN,0.046873,17
7.476,NaN,0.042075,17
9.718,418.57,0.041774,17
12.136,640.92,0.04776,17
14.57,470.13,0.0543,17
17.518,304.35,0.063069,17
19.968,252.65,0.082606,17
22.417,272.15,0.086285,17
24.835,140.68,0.08672,17
0,219.01,0.053779,17
2.434,181.95,0.063062,17
4.852,250.66,0.068542,17
7.301,239.68,0.074971,17
9.735,348.2,0.070753,17
12.153,459.72,0.063793,17
15.459,348.59,0.064736,17
17.02,459.12,0.064787,17
19.438,259.08,0.07131,17
22.417,371,0.07306,17
24.835,578.02,0.073893,17
27.253,332.05,0.077101,17
29.687,350.01,0.080513,17
32.136,543.72,0.080369,17
35.139,446.96,0.078519,17
36.972,337.54,0.075618,17
39.39,293.07,0.075039,17
41.839,260.17,0.071989,17
44.258,226.41,0.066178,17
47.69,134.84,0.065385,17
0,NaN,0.053967,18
6.487,230.03,0.052305,18
8.533,289.24,0.054441,18
10.998,304.69,0.049921,18
13.447,253.06,0.04972,18
15.881,214.78,0.051666,18
18.299,369.48,0.048358,18
20.717,448.64,0.047125,18
23.182,249.37,0.054826,18
25.6,301.05,0.060399,18
28.018,245.12,0.064291,18
30.951,NaN,0.06558,18
0,NaN,0.085864,18
2.418,NaN,0.085144,18
4.836,92.17,0.084974,18
7.285,122.69,0.085296,18
9.734,242.48,0.086217,18
12.876,360.39,0.079032,18
14.617,321.32,0.073767,18
17.051,258.43,0.074454,18
19.515,NaN,0.077397,18
21.949,317.51,0.069927,18
24.991,288.15,0.06261,18
27.44,237.89,0.070188,18
0,232.83,0.024902,18
2.58,355,0.023322,18
4.836,514.85,0.019844,18
7.27,261.91,0.031685,18
9.703,381.02,0.031506,18
12.152,86.841,0.034617,18
15.974,110.67,0.037642,18
18.392,425.05,0.032769,18
20.81,519.48,0.03524,18
23.228,285.69,0.04208,18
25.678,455.93,0.042317,18
28.127,514.84,0.042041,18
30.576,564.47,0.049722,18
32.994,549.47,0.054184,18
35.83,411.13,0.054042,18
37.877,NaN,0.057009,18
40.841,416.35,0.057615,18
0,244.17,0.052276,19
2.418,378.51,0.046039,19
4.867,409.55,0.048267,19
7.831,292.86,0.055678,19
10.265,366.31,0.06392,19
12.683,393.2,0.065788,19
15.116,378.41,0.063929,19
17.784,436.95,0.06464,19
20.015,245.44,0.066937,19
22.464,260.46,0.071241,19
24.913,215.22,0.078066,19
27.347,250.25,0.08075,19
29.78,202.75,0.081002,19
32.729,293.02,0.073265,19
35.178,400.13,0.065625,19
38.404,NaN,0.063122,19
0,NaN,0.051164,19
2.434,53.894,0.046304,19
4.867,124.03,0.051164,19
7.862,79.007,0.054906,19
10.28,97.48,0.060336,19
12.851,120.6,0.073468,19
15.116,118.83,0.06966,19
17.534,228.1,0.066561,19
19.968,319.72,0.065097,19
22.402,307.86,0.065218,19
24.851,289.28,0.066193,19
NaN,NaN,0.0046722,19
27.269,267.99,0.070489,19
33.384,278.07,0.079519,19
35.833,177.43,0.085305,19
38.298,181.76,0.08906,19
41.501,255.24,0.092098,19
43.181,209.36,0.096135,19
45.599,219.83,0.092098,19
48.048,151.28,0.10031,19
50.451,254.82,0.096016,19
0,NaN,0.034976,19
2.418,85.396,0.033235,19
4.836,117.52,0.034052,19
7.254,NaN,0.04591,19
9.704,91.99,0.049619,19
12.153,236.06,0.048587,19
14.602,206.46,0.051672,19
17.02,181.67,0.054763,19
19.856,111.6,0.073217,19
21.903,153.97,0.077639,19
