time (s),tau (nm),event id
10.304,157,16
12.137,232.92,16
14.555,1000,16
17.004,360.1,16
19.423,339,16
22.855,370.27,16
25.304,263.26,16
28.484,NaN,16
30.187,213.25,16
32.62,NaN,16
35.069,NaN,16
37.503,NaN,16
39.937,NaN,16
0,392.35,16
2.418,325.62,16
4.867,134.11,16
7.285,1000,16
10.045,301.31,16
12.152,295.68,16
14.602,1000,16
17.02,426.07,16
19.453,445.54,16
21.902,559.26,16
24.866,359.38,16
27.3,317.03,16
30.355,357.16,16
32.183,314.51,16
34.616,244.2,16
37.05,149.8,16
39.484,270.77,16
41.902,191.97,16
NaN,NaN,16
0,5.1525,17
2.433,5.0395,17
4.836,NaN,17
7.476,NaN,17
9.718,411.78,17
12.136,898.36,17
14.57,531.27,17
17.518,317.32,17
19.968,192.52,17
22.417,280.65,17
24.835,255.93,17
0,413.15,17
2.434,256.47,17
4.852,339.3,17
7.301,201.54,17
9.735,253.36,17
12.153,351.85,17
15.459,372.34,17
17.02,314.86,17
19.438,780.5,17
22.417,602.76,17
24.835,1000,17
27.253,392.75,17
29.687,378.09,17
32.136,415.55,17
35.139,430.45,17
36.972,297.11,17
39.39,661.84,17
41.839,579.4,17
44.258,264.6,17
47.69,282.48,17
0,NaN,18
6.487,108.32,18
8.533,158.48,18
10.998,226.55,18
13.447,431.09,18
15.881,312.13,18
18.299,451.07,18
20.717,444.77,18
23.182,376.79,18
25.6,408.68,18
28.018,517.67,18
30.951,NaN,18
0,NaN,18
2.418,NaN,18
4.836,275.09,18
7.285,176.53,18
9.734,226.92,18
12.876,442.75,18
14.617,466.7,18
17.051,451.55,18
19.515,NaN,18
21.949,270.73,18
24.991,271.59,18
27.44,292.67,18
0,148.09,18
2.58,177.07,18
4.836,405.41,18
7.27,363.73,18
9.703,230.32,18
12.152,388.71,18
15.974,87.419,18
18.392,345.98,18
20.81,524.75,18
23.228,248.96,18
25.678,297.7,18
28.127,538.66,18
30.576,496.49,18
32.994,340.98,18
35.83,470.76,18
37.877,NaN,18
40.841,360.73,18
0,251.35,19
2.418,321.34,19
4.867,205.15,19
7.831,177.02,19
10.265,333.83,19
12.683,247.48,19
15.116,232.67,19
