,accumulation_end_fit,accumulation_timescale,velocity_decay_timescale,v_s_fit,shrinking_speed_steady_state
1649,21.12383483728955,0.8800562204213702,1832.4254438455032,158.34658189423726,-2464.216645351618
1650,24.60474396330111,0.94864867772041,38.686580887097726,215.37449796331623,94.63250081720507
1651,21.357455400213006,1.1902864002718054,39.993167660046986,186.25783827518302,70.76200712481456
1652,24.232471421658555,9.071322238214387,85.65505045921833,187.67412332235563,-32.24338680482672
1653,66.89461415775502,23.982345887888762,0.002486422391785842,234.30103806719922,109.12040132415748
1654,66.95638159973325,24.029750244563267,26.15016758219096,215.46910022889733,80.58644186430828
1655,20.812029666153663,0.1411121984422401,727.4806009511876,141.89415169183195,-506.7800228464385
1656,18.28891798086654,0.024588052896287182,2267.1089143390946,162.45252812425906,-2976.7712544862407
1657,18.606070675085594,0.01947750970499479,378.0814185173437,174.91055148419377,-269.03937573657623
1658,67.13072972187064,24.155693452487007,79.40191161142111,188.6777776032026,-11.093291904809297
1659,66.94046201494567,24.017676855847114,31.887091743656498,183.29399245573148,80.12434689354525
1660,67.03448152007384,24.087566530983487,40.028826395111714,202.02345738439456,45.74478584189088
1661,66.89831375750917,23.98522803025662,2079.9524798639422,151.0028860034804,-1585.6380442762454
1662,23.403351372041982,9.272374929233873,67.17084832333994,179.6497221864987,-7.796307456881136
1663,66.97347398904688,24.04260315947832,40.319796188679206,186.67807906563428,53.52990953436006
1664,67.02660923610168,24.08184362331093,245.5122453891986,167.23860309958206,-261.9590045709886
1665,67.06119783260512,24.106816506847498,58.81271539499787,175.3064325061686,41.375318450914584
1666,66.84666951498369,23.944490696182047,61.234597501959755,153.87849062094472,55.32583425694182
1667,22.76242092890761,0.8568083205900052,23.99979501196954,179.49865862568817,78.53282528504387
1668,19.09678549982056,0.6080769933448185,26.34583535188195,183.51673259526825,96.8092982683173
1669,20.6424402939334,0.7358027641361868,1.111453769490268,259.07951052372005,112.62558029104241
1670,66.93308116498713,24.01204547075967,33.712267396828814,195.88949605881237,76.7442318348776
1671,66.88278695136363,23.973094865392873,39.114425792271525,167.4232026615481,65.19605778576528
1672,22.301302168828894,0.6215960402754979,0.7793149693266059,236.03963425327254,98.90451919352624
1673,67.06720846055134,24.111111016031852,34.778258695192264,210.40968936432014,46.316420266379104
1674,23.646623491314905,1.7669595342301996,1318.1234937034224,181.17416685433045,-2093.2684523171088
1675,66.90014173804673,23.98665006688574,42.17986988753562,178.47569958504005,66.35139567601253
1676,66.95871535358127,24.03151183794092,33.85152776293454,171.56750152314,55.45956991090106
1677,21.64765749199668,0.023577363362706605,2461.511094717467,153.01570736906933,-2758.690815501622
1678,17.170935946844175,0.009990081932839956,103.22651411162714,171.42700978411688,-46.47215845867981
1679,67.05846491809848,24.104859481388207,78.68181882739236,183.8450972965541,-19.52170816126022
1680,66.92308980188889,24.00438804722517,3179.4296432182464,159.77936547823356,-4194.981538727972
1681,24.515146229949096,1.9258734466113658,40.401565232969546,187.37438153444214,81.86749160472941
1682,66.93228770972158,24.01143880722052,32.755604181407996,158.6749763155284,74.35295144144848
1683,66.90142009931107,23.9876437402364,41.81576345855041,195.02490096739308,41.719412795421185
1684,66.83367297564284,23.934065730872508,61.680844962270676,160.7091484076068,45.91285520326542
1685,66.99256696385817,24.056827151003937,2230.921636267736,138.80757902004825,-1826.5572094909296
1686,67.03173457306694,24.085572218829817,53.74529547227429,172.5650395400761,42.66328938262917
1687,24.487798377021846,8.88759911183973,37.08721770048493,181.29461200583268,56.02978347161785
1688,66.88900821278142,23.977968086832597,48.59201430094548,198.04697614692003,24.599703230599985
1689,67.03816551456487,24.090236726753993,369.2735368993535,172.40545510131113,-439.56673561930955
1690,18.1894604846318,0.027693344155802824,1816.8085896126784,190.29051619302845,-4220.946804546713
1691,66.93945501338962,24.0169098054268,40.956328507629046,197.74534336003595,64.18952625555164
1692,21.455034415763684,0.1919943611476569,90.5470334788865,172.17982013952513,-23.913680558403996
1693,25.683454013580366,1.6902755455882712,24.477878249249795,180.7039966242188,83.6124377950004
1694,23.077429383712108,1.0886110408842882,2171.7205220077108,156.43690855594105,-3058.763395804368
1695,17.829304651779815,0.04248630577833623,85.06765748326933,171.15220880273878,-3.5556957481342804
