time (s),velocity (nm/s),event id
32.994,123.74,18
35.83,103.38,18
37.877,NaN,18
40.841,201.76,18
0,NaN,19
2.418,119.73,19
4.867,150.37,19
7.831,128.14,19
10.265,90.719,19
12.683,102.08,19
15.116,76.873,19
17.784,59.444,19
20.015,202.61,19
22.464,75.068,19
24.913,240.96,19
27.347,104.83,19
29.78,105.55,19
32.729,52.285,19
35.178,160.83,19
38.404,NaN,19
0,NaN,19
2.434,NaN,19
4.867,102.37,19
7.862,115.96,19
10.28,106.13,19
12.851,181.59,19
15.116,92.725,19
17.534,119.18,19
19.968,94.705,19
22.402,60.405,19
24.851,66.072,19
NaN,NaN,19
27.269,86.159,19
33.384,70.226,19
35.833,48.652,19
38.298,55.588,19
41.501,59.008,19
43.181,11.284,19
45.599,-8.2422,19
48.048,98.903,19
50.451,129.06,19
0,NaN,19
2.418,NaN,19
4.836,108.47,19
7.254,NaN,19
9.704,224.56,19
12.153,186.1,19
14.602,108.97,19
17.02,83.396,19
19.856,182.68,19
21.903,117.77,19
