omega,cooperativity,kon,v_s,D
0.9,3,0.018,0.3,0.028
0.9,3,0.018,0.3,0.031
0.9,3,0.018,0.3,0.034
0.9,3,0.018,0.3,0.037
0.9,3,0.018,0.3,0.04
0.9,3,0.018,0.3,0.043
0.9,3,0.018,0.3,0.046
0.9,3,0.018,0.3,0.049
0.95,3,0.018,0.3,0.01
0.95,3,0.018,0.3,0.013
0.95,3,0.018,0.3,0.016
0.95,3,0.018,0.3,0.019
0.95,3,0.018,0.3,0.022
0.95,3,0.018,0.3,0.025
0.95,3,0.018,0.3,0.028
0.95,3,0.018,0.3,0.031
0.95,3,0.018,0.3,0.034
0.95,3,0.018,0.3,0.037
0.95,3,0.018,0.3,0.04
0.95,3,0.018,0.3,0.043
0.95,3,0.018,0.3,0.046
0.95,3,0.018,0.3,0.049
1.0,3,0.018,0.3,0.01
1.0,3,0.018,0.3,0.013
1.0,3,0.018,0.3,0.016
1.0,3,0.018,0.3,0.019
1.0,3,0.018,0.3,0.022
1.0,3,0.018,0.3,0.025
1.0,3,0.018,0.3,0.028
1.0,3,0.018,0.3,0.031
1.0,3,0.018,0.3,0.034
1.0,3,0.018,0.3,0.037
1.0,3,0.018,0.3,0.04
1.0,3,0.018,0.3,0.043
1.0,3,0.018,0.3,0.046
1.0,3,0.018,0.3,0.049
